Sample Name,Location,Site,Species,Date Collected,Sample Type,Latitude,Longitude,Tissue N (% dry mass),C:N,Tissue ?15N (‰)
WA2U1,Waiehu Bay,WBA-24,Ulva spp.,7/25/2013,Deployed,20.91680000,-156.49137000,1.1,24.8,6.5
WA3U1,Waiehu Bay,WBA-25,Ulva spp.,7/25/2013,Deployed,20.91690000,-156.49105000,1.0,26.0,6.2
WA4U1,Waiehu Bay,WBA-26,Ulva spp.,7/25/2013,Deployed,20.91757000,-156.49003000,1.3,22.5,6.8
WA5U1,Waiehu Bay,WBA-27,Ulva spp.,7/25/2013,Deployed,20.91623000,-156.49167000,1.0,25.5,6.6
WA7U1,Waiehu Bay,WBA-28,Ulva spp.,7/25/2013,Deployed,20.91553000,-156.49152000,1.0,26.0,6.8
WA8U1,Waiehu Bay,WBA-29,Ulva spp.,7/25/2013,Deployed,20.91478000,-156.49120000,1.0,27.8,5.9
WA9U1,Waiehu Bay,WBA-30,Ulva spp.,7/25/2013,Deployed,20.91293000,-156.49038000,1.1,25.6,6.2
HBA1-A,Honolua Bay,HBA1,Ulva spp.,8/2/2012,Deployed,21.01332700,-156.63944200,1.2,19.8,4.0
HBA1-5-C,Honolua Bay,HBA1-5,Ulva spp.,8/2/2012,Deployed,21.01344500,-156.63949900,0.7,18.8,4.8
HBA2-A,Honolua Bay,HBA2,Ulva spp.,8/2/2012,Deployed,21.01352700,-156.63951600,0.7,28.8,3.2
HBA3-A,Honolua Bay,HBA3,Ulva spp.,8/2/2012,Deployed,21.01366500,-156.63958300,1.0,25.2,5.5
HBA3-5-A,Honolua Bay,HBA3-5,Ulva spp.,8/2/2012,Deployed,21.01375200,-156.63962300,0.7,28.4,3.4
HBA4-A,Honolua Bay,HBA4,Ulva spp.,8/2/2012,Deployed,21.01384900,-156.63973100,1.1,25.2,5.7
HBA5-A,Honolua Bay,HBA5,Ulva spp.,8/2/2012,Deployed,21.01406900,-156.63970900,0.6,34.8,4.1
HBA6-A,Honolua Bay,HBA6,Ulva spp.,8/2/2012,Deployed,21.01431700,-156.64004600,0.6,38.9,4.2
MBA1-A,Maalaea Bay,MBA1,Ulva spp.,8/3/2012,Deployed,20.79197000,-156.50970000,2.9,9.3,2.2
MBA2-A,Maalaea Bay,MBA2,Ulva spp.,8/3/2012,Deployed,20.79148000,-156.50972000,2.4,12.0,4.1
MBA3-A,Maalaea Bay,MBA3,Ulva spp.,8/3/2012,Deployed,20.79085000,-156.50974000,2.2,12.3,4.2
MBB1-A,Maalaea Bay,MBB1,Ulva spp.,8/3/2012,Deployed,20.79220000,-156.50960000,2.4,11.7,3.6
MBB2-A,Maalaea Bay,MBB2,Ulva spp.,8/3/2012,Deployed,20.79203300,-156.50948300,1.6,16.6,4.7
MBB3-A,Maalaea Bay,MBB3,Ulva spp.,8/3/2012,Deployed,20.79133300,-156.50946700,1.2,21.7,4.4
MBB4-A,Maalaea Bay,MBB4,Ulva spp.,8/3/2012,Deployed,20.79036700,-156.50935000,0.9,29.9,4.3
MBC1-A,Maalaea Bay,MBC1,Ulva spp.,8/3/2012,Deployed,20.79278300,-156.50860000,2.7,9.9,3.2
MBC2-A,Maalaea Bay,MBC2,Ulva spp.,8/3/2012,Deployed,20.79245000,-156.50845000,2.7,10.1,4.0
MBC3-A,Maalaea Bay,MBC3,Ulva spp.,8/3/2012,Deployed,20.79175000,-156.50810000,1.2,20.8,4.5
MB3UFA,Maalaea Bay,MB3,Ulva spp.,7/29/2012,Shore-collected,20.77994278,-156.52161248,1.0,22.8,4.6
MB3UFB,Maalaea Bay,MB3,Ulva spp.,7/29/2012,Shore-collected,20.77994278,-156.52161248,1.0,21.4,4.2
